stage=pretrain mode=tied params=3.45M device=cuda:0 world=2 per_gpu_batch=256 effective_batch=512
epochs=400 start_epoch=0 lr=0.001 output=outputs/peq_timm/pretrain_tied_rats_deltafla_sdpaflash_c64_roreg_img224_p16_D384_H6_T12_N64_rms0_LS0x0.0001_g0.5_s0_lrec0.3_optlamb_lr0.001_minlr1e-05_wd0.03_ep400_wu5_bs256_gpu2_acc1_ampbfloat16
epoch=1/400 train_loss=0.7087 val_loss=7.0685 val_acc1=0.124 best=0.124 lr=1.000e-06 sec=1752.5
epoch=2/400 train_loss=0.0953 val_loss=6.9131 val_acc1=0.112 best=0.124 lr=2.008e-04 sec=1653.0
epoch=3/400 train_loss=0.0080 val_loss=6.8544 val_acc1=0.310 best=0.310 lr=4.006e-04 sec=1650.4
epoch=4/400 train_loss=0.0078 val_loss=6.2928 val_acc1=1.604 best=1.604 lr=6.004e-04 sec=1658.8
epoch=5/400 train_loss=0.0075 val_loss=5.9486 val_acc1=3.192 best=3.192 lr=8.002e-04 sec=1655.0
epoch=6/400 train_loss=0.0074 val_loss=5.7531 val_acc1=4.224 best=4.224 lr=9.996e-04 sec=1657.6
epoch=7/400 train_loss=0.0073 val_loss=5.5281 val_acc1=5.792 best=5.792 lr=9.995e-04 sec=1660.0
epoch=8/400 train_loss=0.0072 val_loss=5.3783 val_acc1=7.020 best=7.020 lr=9.993e-04 sec=1674.4
epoch=9/400 train_loss=0.0072 val_loss=5.2505 val_acc1=8.398 best=8.398 lr=9.990e-04 sec=1664.0
epoch=10/400 train_loss=0.0071 val_loss=5.0917 val_acc1=9.752 best=9.752 lr=9.988e-04 sec=1665.6
epoch=11/400 train_loss=0.0071 val_loss=4.9689 val_acc1=10.800 best=10.800 lr=9.985e-04 sec=1660.1
epoch=12/400 train_loss=0.0070 val_loss=4.8277 val_acc1=12.812 best=12.812 lr=9.982e-04 sec=1659.0
epoch=13/400 train_loss=0.0070 val_loss=4.7881 val_acc1=13.176 best=13.176 lr=9.978e-04 sec=1662.2
epoch=14/400 train_loss=0.0069 val_loss=4.5925 val_acc1=15.032 best=15.032 lr=9.974e-04 sec=1682.5
epoch=15/400 train_loss=0.0068 val_loss=4.4684 val_acc1=16.900 best=16.900 lr=9.970e-04 sec=1660.7
epoch=16/400 train_loss=0.0068 val_loss=4.3494 val_acc1=18.128 best=18.128 lr=9.966e-04 sec=1662.0
epoch=17/400 train_loss=0.0067 val_loss=4.2607 val_acc1=19.504 best=19.504 lr=9.961e-04 sec=1661.6
epoch=18/400 train_loss=0.0067 val_loss=4.1054 val_acc1=21.350 best=21.350 lr=9.956e-04 sec=1688.4
epoch=19/400 train_loss=0.0066 val_loss=4.0072 val_acc1=22.184 best=22.184 lr=9.951e-04 sec=1669.1
epoch=20/400 train_loss=0.0066 val_loss=3.9049 val_acc1=23.738 best=23.738 lr=9.945e-04 sec=1670.4
epoch=21/400 train_loss=0.0065 val_loss=3.8565 val_acc1=24.870 best=24.870 lr=9.939e-04 sec=1667.5
epoch=22/400 train_loss=0.0064 val_loss=3.7829 val_acc1=25.962 best=25.962 lr=9.933e-04 sec=1660.8
epoch=23/400 train_loss=0.0064 val_loss=3.6710 val_acc1=27.648 best=27.648 lr=9.926e-04 sec=1665.5
epoch=24/400 train_loss=0.0063 val_loss=3.5941 val_acc1=28.754 best=28.754 lr=9.919e-04 sec=1673.6
epoch=25/400 train_loss=0.0063 val_loss=3.5097 val_acc1=29.868 best=29.868 lr=9.912e-04 sec=1676.8
epoch=26/400 train_loss=0.0062 val_loss=3.4657 val_acc1=30.554 best=30.554 lr=9.905e-04 sec=1678.8
epoch=27/400 train_loss=0.0062 val_loss=3.3332 val_acc1=32.312 best=32.312 lr=9.897e-04 sec=1697.2
epoch=28/400 train_loss=0.0061 val_loss=3.2887 val_acc1=32.886 best=32.886 lr=9.889e-04 sec=1683.7
epoch=29/400 train_loss=0.0061 val_loss=3.2355 val_acc1=33.926 best=33.926 lr=9.881e-04 sec=1677.9
epoch=30/400 train_loss=0.0060 val_loss=3.1742 val_acc1=35.016 best=35.016 lr=9.872e-04 sec=1692.2
epoch=31/400 train_loss=0.0060 val_loss=3.0954 val_acc1=36.004 best=36.004 lr=9.863e-04 sec=1820.8
epoch=32/400 train_loss=0.0059 val_loss=3.0098 val_acc1=37.310 best=37.310 lr=9.854e-04 sec=1899.9
epoch=33/400 train_loss=0.0059 val_loss=3.0150 val_acc1=37.414 best=37.414 lr=9.844e-04 sec=1812.7
epoch=34/400 train_loss=0.0059 val_loss=2.9215 val_acc1=38.904 best=38.904 lr=9.835e-04 sec=1698.4
epoch=35/400 train_loss=0.0058 val_loss=2.9069 val_acc1=39.094 best=39.094 lr=9.825e-04 sec=1675.0
epoch=36/400 train_loss=0.0058 val_loss=2.8386 val_acc1=40.188 best=40.188 lr=9.814e-04 sec=1702.1
epoch=37/400 train_loss=0.0058 val_loss=2.8339 val_acc1=40.258 best=40.258 lr=9.803e-04 sec=1701.1
epoch=38/400 train_loss=0.0057 val_loss=2.7388 val_acc1=41.948 best=41.948 lr=9.792e-04 sec=1691.1
epoch=39/400 train_loss=0.0057 val_loss=2.7520 val_acc1=41.956 best=41.956 lr=9.781e-04 sec=1673.2
epoch=40/400 train_loss=0.0057 val_loss=2.6963 val_acc1=42.910 best=42.910 lr=9.770e-04 sec=1669.1
epoch=41/400 train_loss=0.0056 val_loss=2.6752 val_acc1=42.820 best=42.910 lr=9.758e-04 sec=1674.7
epoch=42/400 train_loss=0.0056 val_loss=2.6281 val_acc1=43.826 best=43.826 lr=9.746e-04 sec=1670.5
epoch=43/400 train_loss=0.0056 val_loss=2.5888 val_acc1=44.452 best=44.452 lr=9.733e-04 sec=1672.2
epoch=44/400 train_loss=0.0056 val_loss=2.5332 val_acc1=45.090 best=45.090 lr=9.720e-04 sec=1668.3
epoch=45/400 train_loss=0.0055 val_loss=2.5622 val_acc1=45.170 best=45.170 lr=9.707e-04 sec=1703.4
epoch=46/400 train_loss=0.0055 val_loss=2.5144 val_acc1=45.780 best=45.780 lr=9.694e-04 sec=1678.9
epoch=47/400 train_loss=0.0055 val_loss=2.4853 val_acc1=46.404 best=46.404 lr=9.680e-04 sec=1674.0
epoch=48/400 train_loss=0.0055 val_loss=2.4713 val_acc1=46.418 best=46.418 lr=9.667e-04 sec=1671.7
epoch=49/400 train_loss=0.0055 val_loss=2.4384 val_acc1=46.954 best=46.954 lr=9.652e-04 sec=1691.9
epoch=50/400 train_loss=0.0054 val_loss=2.3904 val_acc1=47.782 best=47.782 lr=9.638e-04 sec=1677.5
epoch=51/400 train_loss=0.0054 val_loss=2.4153 val_acc1=47.630 best=47.782 lr=9.623e-04 sec=1673.4
epoch=52/400 train_loss=0.0054 val_loss=2.3476 val_acc1=48.424 best=48.424 lr=9.608e-04 sec=1673.8
epoch=53/400 train_loss=0.0053 val_loss=2.3592 val_acc1=48.296 best=48.424 lr=9.593e-04 sec=1672.7
epoch=54/400 train_loss=0.0053 val_loss=2.3043 val_acc1=49.202 best=49.202 lr=9.577e-04 sec=1680.0
epoch=55/400 train_loss=0.0053 val_loss=2.3165 val_acc1=49.208 best=49.208 lr=9.561e-04 sec=1684.8
epoch=56/400 train_loss=0.0053 val_loss=2.3105 val_acc1=49.048 best=49.208 lr=9.545e-04 sec=1687.3
epoch=57/400 train_loss=0.0053 val_loss=2.2631 val_acc1=50.050 best=50.050 lr=9.529e-04 sec=1684.8
epoch=58/400 train_loss=0.0053 val_loss=2.2514 val_acc1=50.038 best=50.050 lr=9.512e-04 sec=1677.4
epoch=59/400 train_loss=0.0053 val_loss=2.2775 val_acc1=50.148 best=50.148 lr=9.495e-04 sec=1680.5
epoch=60/400 train_loss=0.0053 val_loss=2.2408 val_acc1=50.566 best=50.566 lr=9.478e-04 sec=1679.6
epoch=61/400 train_loss=0.0052 val_loss=2.2143 val_acc1=50.712 best=50.712 lr=9.460e-04 sec=1677.1
epoch=62/400 train_loss=0.0052 val_loss=2.2040 val_acc1=51.266 best=51.266 lr=9.443e-04 sec=1678.8
epoch=63/400 train_loss=0.0052 val_loss=2.1655 val_acc1=51.326 best=51.326 lr=9.425e-04 sec=1674.6
epoch=64/400 train_loss=0.0052 val_loss=2.1657 val_acc1=51.500 best=51.500 lr=9.406e-04 sec=1681.5
epoch=65/400 train_loss=0.0052 val_loss=2.1617 val_acc1=51.980 best=51.980 lr=9.388e-04 sec=1676.4
epoch=66/400 train_loss=0.0052 val_loss=2.1841 val_acc1=51.154 best=51.980 lr=9.369e-04 sec=1685.5
epoch=67/400 train_loss=0.0051 val_loss=2.1398 val_acc1=52.260 best=52.260 lr=9.350e-04 sec=1675.3
epoch=68/400 train_loss=0.0051 val_loss=2.1256 val_acc1=52.618 best=52.618 lr=9.330e-04 sec=1671.2
epoch=69/400 train_loss=0.0051 val_loss=2.1199 val_acc1=52.548 best=52.618 lr=9.311e-04 sec=1670.3
epoch=70/400 train_loss=0.0051 val_loss=2.0873 val_acc1=52.972 best=52.972 lr=9.291e-04 sec=1670.4
epoch=71/400 train_loss=0.0051 val_loss=2.1025 val_acc1=52.920 best=52.972 lr=9.271e-04 sec=1671.6
epoch=72/400 train_loss=0.0051 val_loss=2.0760 val_acc1=53.090 best=53.090 lr=9.250e-04 sec=1677.7
epoch=73/400 train_loss=0.0050 val_loss=2.0525 val_acc1=53.502 best=53.502 lr=9.229e-04 sec=1673.3
epoch=74/400 train_loss=0.0051 val_loss=2.0540 val_acc1=53.746 best=53.746 lr=9.208e-04 sec=1674.0
epoch=75/400 train_loss=0.0050 val_loss=2.0616 val_acc1=53.520 best=53.746 lr=9.187e-04 sec=1669.6
epoch=76/400 train_loss=0.0050 val_loss=2.0630 val_acc1=53.658 best=53.746 lr=9.166e-04 sec=1667.2
epoch=77/400 train_loss=0.0050 val_loss=2.0353 val_acc1=53.998 best=53.998 lr=9.144e-04 sec=1668.2
epoch=78/400 train_loss=0.0050 val_loss=2.0586 val_acc1=53.742 best=53.998 lr=9.122e-04 sec=1666.2
epoch=79/400 train_loss=0.0050 val_loss=2.0291 val_acc1=54.460 best=54.460 lr=9.100e-04 sec=1667.2
epoch=80/400 train_loss=0.0050 val_loss=2.0168 val_acc1=54.598 best=54.598 lr=9.077e-04 sec=1666.0
epoch=81/400 train_loss=0.0050 val_loss=2.0244 val_acc1=54.598 best=54.598 lr=9.055e-04 sec=1667.8
epoch=82/400 train_loss=0.0050 val_loss=2.0030 val_acc1=55.036 best=55.036 lr=9.032e-04 sec=1676.7
epoch=83/400 train_loss=0.0050 val_loss=1.9835 val_acc1=55.002 best=55.036 lr=9.008e-04 sec=1679.0
epoch=84/400 train_loss=0.0050 val_loss=1.9651 val_acc1=55.206 best=55.206 lr=8.985e-04 sec=1668.6
epoch=85/400 train_loss=0.0050 val_loss=1.9843 val_acc1=55.020 best=55.206 lr=8.961e-04 sec=1667.3
epoch=86/400 train_loss=0.0050 val_loss=1.9656 val_acc1=55.388 best=55.388 lr=8.937e-04 sec=1666.8
epoch=87/400 train_loss=0.0049 val_loss=1.9334 val_acc1=55.764 best=55.764 lr=8.913e-04 sec=1667.4
epoch=88/400 train_loss=0.0049 val_loss=1.9294 val_acc1=56.182 best=56.182 lr=8.889e-04 sec=1666.9
epoch=89/400 train_loss=0.0049 val_loss=1.9478 val_acc1=55.704 best=56.182 lr=8.864e-04 sec=1671.9
epoch=90/400 train_loss=0.0049 val_loss=1.9413 val_acc1=55.546 best=56.182 lr=8.839e-04 sec=1667.0
epoch=91/400 train_loss=0.0049 val_loss=1.9429 val_acc1=55.816 best=56.182 lr=8.814e-04 sec=1673.4
epoch=92/400 train_loss=0.0049 val_loss=1.9348 val_acc1=56.068 best=56.182 lr=8.789e-04 sec=1669.4
epoch=93/400 train_loss=0.0049 val_loss=1.9270 val_acc1=56.144 best=56.182 lr=8.763e-04 sec=1689.1
epoch=94/400 train_loss=0.0049 val_loss=1.9165 val_acc1=56.454 best=56.454 lr=8.737e-04 sec=1671.5
epoch=95/400 train_loss=0.0049 val_loss=1.9287 val_acc1=56.226 best=56.454 lr=8.711e-04 sec=1676.7
epoch=96/400 train_loss=0.0049 val_loss=1.8980 val_acc1=56.612 best=56.612 lr=8.685e-04 sec=1667.6
epoch=97/400 train_loss=0.0049 val_loss=1.9139 val_acc1=56.606 best=56.612 lr=8.658e-04 sec=1665.0
epoch=98/400 train_loss=0.0048 val_loss=1.8999 val_acc1=57.062 best=57.062 lr=8.632e-04 sec=1664.8
epoch=99/400 train_loss=0.0048 val_loss=1.9002 val_acc1=56.656 best=57.062 lr=8.605e-04 sec=1663.3
epoch=100/400 train_loss=0.0048 val_loss=1.8828 val_acc1=56.888 best=57.062 lr=8.578e-04 sec=1664.8
epoch=101/400 train_loss=0.0048 val_loss=1.8921 val_acc1=57.026 best=57.062 lr=8.550e-04 sec=1678.0
epoch=102/400 train_loss=0.0048 val_loss=1.8803 val_acc1=56.842 best=57.062 lr=8.523e-04 sec=1674.9
epoch=103/400 train_loss=0.0048 val_loss=1.8586 val_acc1=57.404 best=57.404 lr=8.495e-04 sec=1670.4
epoch=104/400 train_loss=0.0048 val_loss=1.8419 val_acc1=57.560 best=57.560 lr=8.467e-04 sec=1695.8
epoch=105/400 train_loss=0.0048 val_loss=1.8403 val_acc1=57.466 best=57.560 lr=8.439e-04 sec=1678.3
epoch=106/400 train_loss=0.0048 val_loss=1.8477 val_acc1=57.538 best=57.560 lr=8.410e-04 sec=1670.1
epoch=107/400 train_loss=0.0048 val_loss=1.8585 val_acc1=57.516 best=57.560 lr=8.381e-04 sec=1673.6
epoch=108/400 train_loss=0.0048 val_loss=1.8520 val_acc1=57.792 best=57.792 lr=8.353e-04 sec=1668.6
epoch=109/400 train_loss=0.0048 val_loss=1.8381 val_acc1=57.842 best=57.842 lr=8.323e-04 sec=1678.6
epoch=110/400 train_loss=0.0048 val_loss=1.8557 val_acc1=57.518 best=57.842 lr=8.294e-04 sec=1760.1
epoch=111/400 train_loss=0.0048 val_loss=1.8106 val_acc1=58.160 best=58.160 lr=8.265e-04 sec=1696.8
