stage=pretrain mode=tied params=4.34M device=cuda:0 world=2 per_gpu_batch=256 effective_batch=512
epochs=400 start_epoch=0 lr=0.001 output=outputs/peq_timm/pretrain_tied_sequential_deltafla_sdpaflash_c64_roreg_img224_p16_D384_H6_T12_N64_rms0_LS0x0.0001_g0.5_s0_lrec0.3_optlamb_lr0.001_minlr1e-05_wd0.03_ep400_wu5_bs256_gpu2_acc1_ampbfloat16
epoch=1/400 train_loss=0.6993 val_loss=7.0568 val_acc1=0.146 best=0.146 lr=1.000e-06 sec=1863.5
epoch=2/400 train_loss=0.0931 val_loss=6.9301 val_acc1=0.134 best=0.146 lr=2.008e-04 sec=1835.7
epoch=3/400 train_loss=0.0079 val_loss=6.8181 val_acc1=0.426 best=0.426 lr=4.006e-04 sec=1837.1
epoch=4/400 train_loss=0.0077 val_loss=6.2568 val_acc1=1.720 best=1.720 lr=6.004e-04 sec=1862.3
epoch=5/400 train_loss=0.0075 val_loss=5.9365 val_acc1=3.310 best=3.310 lr=8.002e-04 sec=1851.3
epoch=6/400 train_loss=0.0074 val_loss=5.7380 val_acc1=4.234 best=4.234 lr=9.996e-04 sec=1851.8
epoch=7/400 train_loss=0.0073 val_loss=5.4860 val_acc1=6.306 best=6.306 lr=9.995e-04 sec=1853.7
epoch=8/400 train_loss=0.0072 val_loss=5.2994 val_acc1=7.588 best=7.588 lr=9.993e-04 sec=1857.8
epoch=9/400 train_loss=0.0071 val_loss=5.1742 val_acc1=9.132 best=9.132 lr=9.990e-04 sec=1858.0
epoch=10/400 train_loss=0.0071 val_loss=4.9885 val_acc1=10.778 best=10.778 lr=9.988e-04 sec=1859.7
epoch=11/400 train_loss=0.0070 val_loss=4.8356 val_acc1=12.198 best=12.198 lr=9.985e-04 sec=1866.2
epoch=12/400 train_loss=0.0069 val_loss=4.6975 val_acc1=14.368 best=14.368 lr=9.982e-04 sec=1870.9
epoch=13/400 train_loss=0.0069 val_loss=4.6179 val_acc1=14.932 best=14.932 lr=9.978e-04 sec=1863.2
epoch=14/400 train_loss=0.0068 val_loss=4.4200 val_acc1=17.336 best=17.336 lr=9.974e-04 sec=1868.3
epoch=15/400 train_loss=0.0068 val_loss=4.3098 val_acc1=18.906 best=18.906 lr=9.970e-04 sec=1866.8
epoch=16/400 train_loss=0.0067 val_loss=4.1748 val_acc1=20.734 best=20.734 lr=9.966e-04 sec=1861.6
epoch=17/400 train_loss=0.0066 val_loss=4.0845 val_acc1=21.778 best=21.778 lr=9.961e-04 sec=1869.6
epoch=18/400 train_loss=0.0066 val_loss=3.9239 val_acc1=23.658 best=23.658 lr=9.956e-04 sec=1861.4
epoch=19/400 train_loss=0.0065 val_loss=3.8668 val_acc1=24.400 best=24.400 lr=9.951e-04 sec=1865.5
epoch=20/400 train_loss=0.0065 val_loss=3.7586 val_acc1=25.876 best=25.876 lr=9.945e-04 sec=1871.9
epoch=21/400 train_loss=0.0064 val_loss=3.7204 val_acc1=26.898 best=26.898 lr=9.939e-04 sec=1880.5
epoch=22/400 train_loss=0.0063 val_loss=3.6469 val_acc1=27.612 best=27.612 lr=9.933e-04 sec=1930.3
epoch=23/400 train_loss=0.0063 val_loss=3.5331 val_acc1=29.328 best=29.328 lr=9.926e-04 sec=1910.7
epoch=24/400 train_loss=0.0062 val_loss=3.4842 val_acc1=30.840 best=30.840 lr=9.919e-04 sec=1910.8
epoch=25/400 train_loss=0.0062 val_loss=3.3941 val_acc1=31.746 best=31.746 lr=9.912e-04 sec=1878.6
epoch=26/400 train_loss=0.0061 val_loss=3.3394 val_acc1=32.264 best=32.264 lr=9.905e-04 sec=1896.0
epoch=27/400 train_loss=0.0061 val_loss=3.1898 val_acc1=34.638 best=34.638 lr=9.897e-04 sec=1977.4
epoch=28/400 train_loss=0.0060 val_loss=3.1539 val_acc1=35.026 best=35.026 lr=9.889e-04 sec=1923.9
epoch=29/400 train_loss=0.0060 val_loss=3.1040 val_acc1=36.010 best=36.010 lr=9.881e-04 sec=1964.2
epoch=30/400 train_loss=0.0060 val_loss=3.0668 val_acc1=36.614 best=36.614 lr=9.872e-04 sec=1960.9
epoch=31/400 train_loss=0.0059 val_loss=2.9853 val_acc1=37.528 best=37.528 lr=9.863e-04 sec=1902.4
epoch=32/400 train_loss=0.0059 val_loss=2.9023 val_acc1=38.930 best=38.930 lr=9.854e-04 sec=1889.4
epoch=33/400 train_loss=0.0058 val_loss=2.9170 val_acc1=39.034 best=39.034 lr=9.844e-04 sec=1878.8
epoch=34/400 train_loss=0.0058 val_loss=2.8497 val_acc1=39.998 best=39.998 lr=9.835e-04 sec=1875.5
epoch=35/400 train_loss=0.0058 val_loss=2.8541 val_acc1=40.128 best=40.128 lr=9.825e-04 sec=1870.9
epoch=36/400 train_loss=0.0058 val_loss=2.7714 val_acc1=41.284 best=41.284 lr=9.814e-04 sec=1947.4
epoch=37/400 train_loss=0.0057 val_loss=2.7421 val_acc1=41.818 best=41.818 lr=9.803e-04 sec=1881.5
epoch=38/400 train_loss=0.0057 val_loss=2.6888 val_acc1=42.810 best=42.810 lr=9.792e-04 sec=1890.8
epoch=39/400 train_loss=0.0057 val_loss=2.7031 val_acc1=42.784 best=42.810 lr=9.781e-04 sec=1877.4
epoch=40/400 train_loss=0.0056 val_loss=2.6685 val_acc1=43.040 best=43.040 lr=9.770e-04 sec=1896.3
epoch=41/400 train_loss=0.0056 val_loss=2.6108 val_acc1=43.960 best=43.960 lr=9.758e-04 sec=1870.9
epoch=42/400 train_loss=0.0056 val_loss=2.6015 val_acc1=43.866 best=43.960 lr=9.746e-04 sec=1871.1
epoch=43/400 train_loss=0.0056 val_loss=2.5568 val_acc1=44.808 best=44.808 lr=9.733e-04 sec=1871.9
epoch=44/400 train_loss=0.0055 val_loss=2.5226 val_acc1=45.262 best=45.262 lr=9.720e-04 sec=1871.7
epoch=45/400 train_loss=0.0055 val_loss=2.5233 val_acc1=45.580 best=45.580 lr=9.707e-04 sec=1879.2
epoch=46/400 train_loss=0.0055 val_loss=2.4838 val_acc1=46.024 best=46.024 lr=9.694e-04 sec=1876.2
epoch=47/400 train_loss=0.0055 val_loss=2.4706 val_acc1=46.402 best=46.402 lr=9.680e-04 sec=1877.0
epoch=48/400 train_loss=0.0054 val_loss=2.4405 val_acc1=46.804 best=46.804 lr=9.667e-04 sec=1877.3
epoch=49/400 train_loss=0.0054 val_loss=2.4106 val_acc1=47.234 best=47.234 lr=9.652e-04 sec=1879.3
epoch=50/400 train_loss=0.0054 val_loss=2.3587 val_acc1=48.076 best=48.076 lr=9.638e-04 sec=1882.9
epoch=51/400 train_loss=0.0054 val_loss=2.3822 val_acc1=47.838 best=48.076 lr=9.623e-04 sec=1883.6
epoch=52/400 train_loss=0.0054 val_loss=2.3387 val_acc1=48.178 best=48.178 lr=9.608e-04 sec=1880.1
epoch=53/400 train_loss=0.0053 val_loss=2.3337 val_acc1=48.354 best=48.354 lr=9.593e-04 sec=1880.5
epoch=54/400 train_loss=0.0053 val_loss=2.2754 val_acc1=49.308 best=49.308 lr=9.577e-04 sec=1902.2
epoch=55/400 train_loss=0.0053 val_loss=2.3077 val_acc1=49.280 best=49.308 lr=9.561e-04 sec=1909.2
epoch=56/400 train_loss=0.0053 val_loss=2.2971 val_acc1=49.088 best=49.308 lr=9.545e-04 sec=1882.3
epoch=57/400 train_loss=0.0053 val_loss=2.2514 val_acc1=49.824 best=49.824 lr=9.529e-04 sec=1874.0
epoch=58/400 train_loss=0.0053 val_loss=2.2260 val_acc1=50.230 best=50.230 lr=9.512e-04 sec=1876.0
epoch=59/400 train_loss=0.0053 val_loss=2.3004 val_acc1=49.402 best=50.230 lr=9.495e-04 sec=1872.6
epoch=60/400 train_loss=0.0052 val_loss=2.2516 val_acc1=50.382 best=50.382 lr=9.478e-04 sec=1877.1
epoch=61/400 train_loss=0.0052 val_loss=2.2194 val_acc1=50.646 best=50.646 lr=9.460e-04 sec=1872.6
epoch=62/400 train_loss=0.0052 val_loss=2.2132 val_acc1=50.598 best=50.646 lr=9.443e-04 sec=1873.8
epoch=63/400 train_loss=0.0052 val_loss=2.1953 val_acc1=50.810 best=50.810 lr=9.425e-04 sec=1874.6
epoch=64/400 train_loss=0.0052 val_loss=2.1675 val_acc1=51.238 best=51.238 lr=9.406e-04 sec=1879.8
epoch=65/400 train_loss=0.0052 val_loss=2.1551 val_acc1=51.764 best=51.764 lr=9.388e-04 sec=1875.3
epoch=66/400 train_loss=0.0052 val_loss=2.1890 val_acc1=51.432 best=51.764 lr=9.369e-04 sec=1872.1
epoch=67/400 train_loss=0.0052 val_loss=2.1322 val_acc1=51.976 best=51.976 lr=9.350e-04 sec=1869.2
epoch=68/400 train_loss=0.0051 val_loss=2.1516 val_acc1=51.764 best=51.976 lr=9.330e-04 sec=1868.7
epoch=69/400 train_loss=0.0051 val_loss=2.1255 val_acc1=52.336 best=52.336 lr=9.311e-04 sec=1869.6
epoch=70/400 train_loss=0.0051 val_loss=2.1151 val_acc1=52.324 best=52.336 lr=9.291e-04 sec=1867.6
epoch=71/400 train_loss=0.0051 val_loss=2.1226 val_acc1=52.432 best=52.432 lr=9.271e-04 sec=1870.9
epoch=72/400 train_loss=0.0051 val_loss=2.0880 val_acc1=52.966 best=52.966 lr=9.250e-04 sec=1889.3
epoch=73/400 train_loss=0.0051 val_loss=2.0787 val_acc1=53.042 best=53.042 lr=9.229e-04 sec=1871.9
epoch=74/400 train_loss=0.0051 val_loss=2.0797 val_acc1=53.448 best=53.448 lr=9.208e-04 sec=1869.2
